Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AIG.WS,"American International Group, Inc.",,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
ASB^B.CL,Associated Banc-Corp,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb^b.cl
BAC.WS.A,Bank of America Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac.ws.a
BAC.WS.B,Bank of America Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac.ws.b
BAC^Z.CL,Bank of America Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^z.cl
BRK.A,Berkshire Hathaway Inc.,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brk.a
BRK.B,Berkshire Hathaway Inc.,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brk.b
BIOA.WS,BioAmber Inc.,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bioa.ws
BIO.B,"Bio-Rad Laboratories, Inc.",,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bio.b
BF.A,Brown Forman Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.a
BF.B,Brown Forman Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.b
COF.WS,Capital One Financial Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof.ws
CBS.A,CBS Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbs.a
C.WS.A,Citigroup Inc.,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c.ws.a
CMA.WS,Comerica Incorporated,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cma.ws
CIG.C,Comp En De Mn Cemig ADS,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cig.c
STZ.B,Constellation Brands Inc,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stz.b
CFC^A.CL,Countrywide Financial Corporation,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^a.cl
CRD.A,Crawford & Company,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.b
DYN.WS,Dynegy Inc.,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws
KODK.WS,Eastman Kodak Company,,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws
